,YEAR,andhrapradesh,arunachalpradesh,assam,bihar,goa,gujarat,haryana,himachalpradesh,jammukashmir,jharkhand,karnataka,kerala,madhyapradesh,chhattisgarh,maharashtra,manipur,meghalaya,mizoram,nagaland,orissa,punjab,rajasthan,sikkim,tamilnadu,tripura,uttarpradesh,uttarakhand,westbengal,andamannicobarislands,chandigarh,delhi,puducherry,telangana
0,1999,88994.71804629712,2147.81098109811,38521.46277450455,53837.35293529852,8890.499201857496,126924.38128488285,58558.15976925726,15469.856113843993,19081.702040075063,43480.71962262105,122657.56163060808,77841.75546676354,93242.16940185428,31445.519966854707,294540.2607710914,3841.0344632768365,4396.137236533958,1840.1305057096247,3450.929268292683,51168.81248529989,72527.54642015789,92372.8527171209,1048.9246823956444,156628.5192642945,5532.8091580057235,194854.91857250428,14167.614978123758,146533.9229311162,1257.7702205882354,4511.039549788963,69764.13700542609,4160.134,
1,2000,96394.37340121224,2305.6327632763278,39496.2022342949,62700.983462403194,8438.79161224786,118544.22579001426,63211.485191137646,16456.343288826425,19623.146921726497,38351.464729165535,123475.89290822137,79808.12911974816,85663.95716156869,29509.193485674223,285492.42138092796,3595.281073446328,4685.014519906324,1909.2985318107667,4035.339512195122,49818.93339866719,74939.23947814347,89371.55071037647,1116.110707803993,165323.27057177993,5879.840337400211,198838.77708154044,15934.292630263084,151670.25274630595,1257.7702205882354,5084.436454588088,72493.35639545762,4752.59,
2,2001,100765.3326108598,2674.3618361836184,40515.46682990282,59105.28258805895,8766.000290233638,128177.97574025272,68093.70324876593,17295.167603654252,20001.03032871239,40993.76457192431,125714.11024368026,83795.42743673568,91791.97806713408,33639.05602830099,295577.6704133988,3818.9296610169495,4998.535362997658,2029.363784665579,4498.107804878049,52851.8305370443,75915.54217697385,99548.57975565261,1207.9773139745917,162120.14774247605,6685.88793492996,202456.06096170394,16690.35467924314,162623.54624563822,1286.2876838235295,5530.544005002344,75281.19538277753,5074.702,
3,2002,103059.03456531875,2546.6696669666967,42970.36621011554,66579.47914064451,9299.111014366565,139353.34513013638,72268.21002181151,18137.714511595223,21019.05950723409,42141.58997993819,132457.2141653382,89926.70734955807,87005.063307394,33070.55690473914,315961.0747709448,3798.125141242938,5146.396721311476,2225.122349102773,4946.331951219512,52472.052116816936,77208.57977323764,87589.44980927635,1298.4727767695101,162931.39617146642,7132.598282873927,209007.1844987091,18253.136200920508,168323.56252961702,1422.8713235294117,6227.661403783023,81050.45435311389,5578.0019999999995,
4,2003,113155.45320513629,2823.5751575157515,45614.1965720407,62286.13984511616,9935.970831519373,162562.67267255313,79377.49156239237,19352.520730850316,22099.12924511169,45330.473350322616,135036.8544841722,95754.78513137184,96764.97932557721,39283.15753577461,340363.9329582936,4212.9152542372885,5466.762997658079,2296.900489396411,5172.427317073171,60134.24831438652,82029.59334316062,115459.21645198739,1401.3085299455536,173085.08618592646,7551.004669377919,220011.87912005163,19696.87277686232,178213.80416146124,1572.9632352941178,6904.5552602782545,85467.3728464716,5828.214,
5,2004,215455.8737901584,6544.260887015855,91169.23716052703,123786.48249318643,17958.717771381933,272449.2629108957,147481.865369694,37776.38945663378,44760.52215357458,90933.94772758461,332758.6518626028,194266.89820535283,166392.43950471698,85010.50532014725,599028.1154943785,8256.254366812227,10229.223333009804,3489.1259931895574,6157.91992250565,133986.11438993324,150374.55025659368,219623.783673409,3236.6231310466137,337921.3167903381,9868.471673254282,407921.1791392405,43081.907939637524,310686.6999675226,1620.1492276304284,10773.250271761854,164909.1092949392,7499.536072341262,161790.06689829516
6,2005,227457.98782588722,6735.169375877986,93915.07735054225,120702.7141776237,19455.957901971735,311996.4362722108,160804.87167161863,41021.14045059638,46834.049691085616,86858.23663560263,366994.56342525396,214150.44230280077,174775.328567217,86399.03557352198,685815.41856348,8801.529475982534,11028.873531980977,3746.4490351872873,6799.724895059735,139933.87047902113,157747.6323300751,234376.38095379015,3560.0712401055407,386683.4090471607,10518.31717634006,431731.25103797467,49190.07507393645,330248.80030542583,1706.4645875837948,11951.087883602308,181895.0069720344,9499.213681934343,187774.5444577278
7,2006,251348.62002359648,7098.511338551074,98156.54055749753,141592.2454273824,21364.65333562438,338383.36050177214,179088.29885884066,44248.06314239435,49568.64624889674,88313.3580473321,405152.54746008705,231069.25430291382,190708.6450176887,102835.45434201977,780279.5182740722,8953.991266375546,11860.019800058237,3915.090124858116,7331.34388117533,157355.39593546148,174760.55643236218,261962.91892931657,3769.9912049252416,447233.3527585457,11424.235628597185,466022.3453164557,55116.54356563282,356170.8313006164,2013.032935004372,13717.844301362991,204478.45088035768,9855.34106546098,208477.0974396334
8,2007,282693.98143604415,7950.414810355209,102351.6278569508,148922.3697701531,22295.3260449332,378395.5156254638,193107.4745746674,46998.9701663967,52629.93389232127,107985.77685043102,455994.06192549586,251690.7367210242,199720.87510613207,111148.14951274091,871096.2491881064,9447.25,12232.72328448025,4343.961861520999,7926.575395544074,170849.19512100978,189894.4098783096,273897.97681369574,3988.479331574318,475248.4774441926,12177.959780875113,495890.43402531644,64750.43755213468,383881.49060919316,2220.3882250072866,14730.048499038381,227528.50206394354,10634.649105563201,229691.84931694498
9,2008,289919.74396775843,8603.19867549669,108448.12736398673,171625.46728329768,24047.276601228576,394570.23835956375,207975.053310876,49293.472654984536,55925.67043248014,103644.40755018276,488433.38238993706,267167.04617471667,224971.10261792454,118439.98738179455,884779.143581586,10137.812227074237,13804.02717655052,4996.719182746879,8430.931869551177,183688.70172154246,200421.39678947636,296931.6051077934,4511.137203166227,500384.26017572725,13463.156091810555,533571.6164050633,71643.38818533404,399354.5969692363,2558.7047508015157,15837.102600551887,255869.67082037605,11610.646746609003,260994.69248203633
10,2009,309550.5308999029,9317.565924142084,118440.20310119208,179835.9122150076,26318.44456376992,450323.76586738543,233960.81678999262,51967.717979678986,58635.28473080318,113915.95362850405,488554.19922593125,291324.3285363027,246297.10579599056,121728.50355879591,970264.8556553777,10831.961790393014,14691.166456371931,5570.971169125994,8908.02583144979,185166.77232022234,213223.87539693547,314236.5616057293,7837.726033421284,552763.8529603527,14841.360030511061,566760.9320506329,83904.18063244104,430366.20743387047,2888.092101428155,16658.19132034451,276907.04286141146,13704.198938470612,261701.24352747787
11,2010,330210.7804378922,9719.910696367651,124268.10881061218,207295.21074574778,31500.82207139482,499605.5063968227,249822.19019322115,56319.60653806508,61986.75092674316,130487.88405254687,538791.629511369,309967.46877313964,259230.23037146227,133465.28146971774,1080814.2888602451,10514.482532751092,16143.485198485878,6598.809534619751,9754.299644817565,196839.58852819703,226995.577251856,361436.6835150852,8628.138962181178,628152.0055419293,15962.283128770545,612018.6082025316,92718.49776294836,456461.5424521131,3139.101136694841,16655.359979931432,299873.5225927115,14620.593670139571,307973.2512484278
12,2011,339996.0,10229,129354,228497.0,38009,532809,271152.0,60536.0,65319.0,137383.0,554952.0,328021.0,282371.0,142273,1126595,11501,18028.0,6404,10554,204226.0,239227.0,395331.0,9742.0,674478.0,17419.0,645132.0,101960.0,473205,3404,16930,314650.0,15160.0,325139.0
13,2012,341335.0,10399,132518,236933.0,32453,596659,289756.0,64519.0,67316.0,149526.0,593192.0,348616.0,306853.0,148760,1189711,11515,18323.0,6836,11163,216301.0,251813.0,409802.0,9970.0,709343.0,18857.0,673552.0,109528.0,492901,3558,18305,334193.0,15507.0,334205.0
14,2013,360239.0,11226,138725,246915.0,27971,641489,314931.0,69398.0,70536.0,150609.0,646787.0,364707.0,322598.0,163494,1267551,12519,18397.0,7831,11923,233122.0,267515.0,434292.0,10590.0,750416.0,20623.0,707469.0,117778.0,503952,3811,19813,356528.0,17239.0,349593.0
15,2014,397064.0,13082,146425,255739.0,36042,705629,333359.0,74553.0,67154.0,170568.0,671283.0,382134.0,339247.0,165354,1345341,13615,17893.0,9960,12406,235931.0,278485.0,465408.0,11437.0,791915.0,24407.0,729686.0,125702.0,515702,4151,20353,387639.0,16055.0,372897.0
16,2015,446997.0,12889,167629,269200.0,41929,774775,372700.0,80563.0,80602.0,158231.0,749952.0,411150.0,370716.0,168879,1452513,14635,18330.0,10948,12600,253192.0,294895.0,501922.0,12484.0,862437.0,23745.0,792049.0,136144.0,546988,4483,22058,431730.0,17025.0,416892.0
17,2016,477566.0,13396,179632,289265.0,46371,843930,412055.0,88112.0,82636.0,176363.0,851394.0,443615.0,419465.0,187541,1596121,15201,19295.0,12029,13488,293348.0,315783.0,529650.0,13416.0,922084.0,27204.0,888453.0,150303.0,584911,5091,23842,461592.0,18284.0,455731.0
18,2017,526626.0,13923,195262,312605.0,47077,946511,434407.0,93525.0,87591.0,191573.0,915642.0,473182.0,441956.0,194073,1661065,16870,19964.0,13779,14178,316192.0,335057.0,557618.0,15204.0,1000308.0,29505.0,922458.0,162205.0,623787,5750,25289,487631.0,20024.0,498145.0
19,2018,558862.0,14897,204627,345545.0,47425,1034399,470328.0,99218.0,93072.0,208701.0,974815.0,510787.0,482361.0,209211,1728578,16193,20968.0,14116,15055,338339.0,353942.0,568102.0,15889.0,1071602.0,32703.0,949184.0,166519.0,659288,6108,26654,506332.0,23468.0,544441.0
20,2019,595658.0,17091,212315,359196.0,48509,1110179,507776.0,102613.0,90791.0,209913.0,1030357.0,521455.0,508146.0,220624,1782903,17756,21997.0,13050,15853,346106.0,367558.0,598550.0,16588.0,1099402.0,33695.0,980106.0,166351.0,697554,6430,27817,521994.0,23672.0,572736.0
21,2020,593869.0,16588,199646,344183.0,46421,1099259,480471.0,98132.0,87102.0,196467.0,1026875.0,472272.0,490238.0,215126,1653094,18230,20620.0,11781,15200,326253.0,352357.0,583645.0,16147.0,1094471.0,32615.0,910011.0,156792.0,706648,-,24422,496284.0,22816.0,537753.0
22,2021,661432.0,-,-,382274.0,-,-,527733.0,106004.0,97335.0,213681.0,1127480.0,506107.0,539180.0,-,-,-,22527.0,-,-,365116.0,376781.0,648142.0,17442.0,1181923.0,35395.0,948839.0,167487.0,-,-,-,548058.0,23666.0,599614.0
